epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8646068786089862,0.44590449576862884,0.9366862140940264,0.21449426575553202
1,0.933013524132492,0.2313083736637141,0.9453334658582646,0.18386981504673175
2,0.9448627259646192,0.18837531508622585,0.9496570917403837,0.17455180747105511
3,0.9536330867040467,0.15908493669033955,0.9532849617334261,0.1663289695105067
4,0.9585115321006193,0.14028825412165663,0.9540304144717225,0.16898254883829117
5,0.9630322248421281,0.12518489847112824,0.957012225424908,0.16685853708317344
6,0.9666693769086198,0.11282331361309779,0.9554219262498758,0.17252766491310023
7,0.9690489741658493,0.10519974107186213,0.9544279892654806,0.17440769780027696
8,0.9723392145647978,0.09477606639760741,0.9561176821389524,0.173851326593681
9,0.974133398379272,0.08886100082537907,0.9558691978928536,0.17688075360611927
